Wavelength,Intensity
380.0,2
380.437531,2
380.875125,2
381.312781,2
381.7505,1
382.188281,1
382.626125,1
383.064031,2
383.502,2
383.940031,2
384.378125,2
384.816281,2
385.2545,2
385.692781,1
386.131125,1
386.569531,1
387.008,1
387.446531,2
387.885125,1
388.323781,1
388.7625,1
389.201281,1
389.640125,1
390.079031,1
390.518,2
390.957031,2
391.396125,2
391.835281,2
392.2745,1
392.713781,1
393.153125,1
393.592531,1
394.032,1
394.471531,2
394.911125,2
395.350781,2
395.7905,2
396.230281,2
396.670125,2
397.110031,2
397.55,1
397.990031,1
398.430125,1
398.870281,2
399.3105,2
399.750781,2
400.191125,1
400.631531,1
401.072,1
401.512531,2
401.953125,2
402.393781,2
402.8345,2
403.275281,1
403.716125,1
404.157031,1
404.598,1
405.039031,2
405.480125,2
405.921281,2
406.3625,2
406.803781,2
407.245125,1
407.686531,2
408.128,1
408.569531,1
409.011125,2
409.452781,2
409.8945,2
410.336281,2
410.778125,2
411.220031,1
411.662,1
412.104031,1
412.546125,2
412.988281,2
413.4305,2
413.872781,2
414.315125,1
414.757531,1
415.2,1
415.642531,1
416.085125,1
416.527781,1
416.9705,1
417.413281,2
417.856125,1
418.299031,1
418.742,1
419.185031,1
419.628125,2
420.071281,2
420.5145,1
420.957781,1
421.401125,1
421.844531,1
422.288,1
422.731531,1
423.175125,1
423.618781,1
424.0625,1
424.506281,2
424.950125,2
425.394031,2
425.838,2
426.282031,2
426.726125,1
427.170281,1
427.6145,1
428.058781,1
428.503125,1
428.947531,1
429.392,2
429.836531,2
430.281125,2
430.725781,2
431.1705,2
431.615281,1
432.060125,1
432.505031,1
432.95,1
433.395031,1
433.840125,2
434.285281,2
434.7305,2
435.175781,2
435.621125,2
436.066531,2
436.512,2
436.957531,1
437.403125,1
437.848781,1
438.2945,1
438.740281,1
439.186125,1
439.632031,1
440.078,1
440.524031,1
440.970125,2
441.416281,2
441.8625,2
442.308781,2
442.755125,2
443.201531,2
443.648,2
444.094531,1
444.541125,1
444.987781,1
445.4345,1
445.881281,1
446.328125,1
446.775031,1
447.222,1
447.669031,1
448.116125,1
448.563281,1
449.0105,2
449.457781,2
449.905125,2
450.352531,2
450.8,2
451.247531,2
451.695125,2
452.142781,2
452.5905,2
453.038281,2
453.486125,2
453.934031,2
454.382,2
454.830031,2
455.278125,2
455.726281,2
456.1745,2
456.622781,2
457.071125,2
457.519531,2
457.968,2
458.416531,1
458.865125,1
459.313781,1
459.7625,1
460.211281,2
460.660125,2
461.109031,2
461.558,2
462.007031,2
462.456125,1
462.905281,1
463.3545,1
463.803781,1
464.253125,2
464.702531,2
465.152,1
465.601531,1
466.051125,2
466.500781,2
466.9505,2
467.400281,1
467.850125,1
468.300031,2
468.75,2
469.200031,2
469.650125,2
470.100281,2
470.5505,2
471.000781,2
471.451125,2
471.901531,2
472.352,2
472.802531,2
473.253125,1
473.703781,1
474.1545,1
474.605281,1
475.056125,1
475.507031,1
475.958,1
476.409031,1
476.860125,1
477.311281,1
477.7625,1
478.213781,2
478.665125,2
479.116531,1
479.568,2
480.019531,2
480.471125,2
480.922781,1
481.3745,1
481.826281,1
482.278125,1
482.730031,1
483.182,1
483.634031,2
484.086125,2
484.538281,2
484.9905,2
485.442781,2
485.895125,2
486.347531,2
486.8,1
487.252531,1
487.705125,1
488.157781,1
488.6105,1
489.063281,1
489.516125,1
489.969031,1
490.422,1
490.875031,2
491.328125,2
491.781281,2
492.2345,2
492.687781,2
493.141125,1
493.594531,1
494.048,1
494.501531,1
494.955125,2
495.408781,2
495.8625,2
496.316281,1
496.770125,2
497.224031,1
497.678,1
498.132031,1
498.586125,1
499.040281,1
499.4945,2
499.948781,2
500.403125,2
500.857531,2
501.312,2
501.766531,1
502.221125,1
502.675781,1
503.1305,2
503.585281,2
504.040125,2
504.495031,2
504.95,2
505.405031,2
505.860125,2
506.315281,2
506.7705,2
507.225781,2
507.681125,1
508.136531,2
508.592,1
509.047531,1
509.503125,1
509.958781,1
510.4145,1
510.870281,2
511.326125,2
511.782031,2
512.238,2
512.694031,2
513.150125,2
513.606281,2
514.0625,2
514.518781,2
514.975125,2
515.431531,1
515.888,1
516.344531,1
516.801125,1
517.257781,1
517.7145,1
518.171281,1
518.628125,1
519.085031,1
519.542,1
519.999031,1
520.456125,1
520.913281,1
521.3705,2
521.827781,2
522.285125,2
522.742531,2
523.2,2
523.657531,2
524.115125,2
524.572781,1
525.0305,2
525.488281,2
525.946125,2
526.404031,2
526.862,2
527.320031,2
527.778125,2
528.236281,2
528.6945,1
529.152781,1
529.611125,1
530.069531,1
530.528,1
530.986531,1
531.445125,2
531.903781,2
532.3625,2
532.821281,2
533.280125,2
533.739031,2
534.198,2
534.657031,2
535.116125,2
535.575281,2
536.0345,2
536.493781,2
536.953125,2
537.412531,2
537.872,1
538.331531,1
538.791125,1
539.250781,1
539.7105,1
540.170281,1
540.630125,2
541.090031,2
541.55,2
542.010031,2
542.470125,2
542.930281,2
543.3905,2
543.850781,2
544.311125,2
544.771531,2
545.232,2
545.692531,2
546.153125,2
546.613781,2
547.0745,2
547.535281,2
547.996125,2
548.457031,3
548.918,3
549.379031,2
549.840125,2
550.301281,1
550.7625,1
551.223781,1
551.685125,1
552.146531,1
552.608,2
553.069531,2
553.531125,1
553.992781,1
554.4545,1
554.916281,1
555.378125,1
555.840031,1
556.302,1
556.764031,1
557.226125,1
557.688281,2
558.1505,2
558.612781,3
559.075125,3
559.537531,2
560.0,2
560.462531,2
560.925125,1
561.387781,1
561.8505,1
562.313281,1
562.776125,1
563.239031,1
563.702,1
564.165031,1
564.628125,1
565.091281,1
565.5545,2
566.017781,1
566.481125,1
566.944531,1
567.408,1
567.871531,1
568.335125,2
568.798781,2
569.2625,2
569.726281,2
570.190125,1
570.654031,1
571.118,1
571.582031,1
572.046125,1
572.510281,1
572.9745,2
573.438781,2
573.903125,2
574.367531,2
574.832,1
575.296531,1
575.761125,1
576.225781,1
576.6905,1
577.155281,1
577.620125,1
578.085031,1
578.55,1
579.015031,2
579.480125,2
579.945281,2
580.4105,2
580.875781,2
581.341125,2
581.806531,1
582.272,1
582.737531,1
583.203125,1
583.668781,1
584.1345,1
584.600281,1
585.066125,1
585.532031,1
585.998,1
586.464031,1
586.930125,2
587.396281,2
587.8625,2
588.328781,2
588.795125,2
589.261531,2
589.728,2
590.194531,2
590.661125,2
591.127781,2
591.5945,1
592.061281,1
592.528125,1
592.995031,1
593.462,2
593.929031,2
594.396125,2
594.863281,2
595.3305,1
595.797781,1
596.265125,1
596.732531,2
597.2,2
597.667531,2
598.135125,2
598.602781,2
599.0705,2
599.538281,2
600.006125,2
600.474031,2
600.942,1
601.410031,1
601.878125,2
602.346281,2
602.8145,2
603.282781,2
603.751125,2
