Wavelength,Intensity
482.278125,1
482.730031,2
483.182,2
483.634031,2
484.086125,2
484.538281,2
484.9905,2
485.442781,2
485.895125,2
486.347531,2
486.8,1
487.252531,1
487.705125,2
488.157781,2
488.6105,2
489.063281,2
489.516125,2
489.969031,2
490.422,1
490.875031,2
491.328125,2
491.781281,2
492.2345,2
492.687781,2
493.141125,1
493.594531,1
494.048,2
494.501531,2
494.955125,2
495.408781,2
495.8625,2
496.316281,2
496.770125,1
497.224031,1
497.678,1
498.132031,1
498.586125,1
499.040281,1
499.4945,1
499.948781,2
500.403125,2
500.857531,1
501.312,1
501.766531,1
502.221125,1
502.675781,1
503.1305,1
503.585281,1
504.040125,1
504.495031,1
504.95,1
505.405031,2
505.860125,2
506.315281,2
506.7705,2
507.225781,2
507.681125,2
508.136531,2
508.592,2
509.047531,2
509.503125,2
509.958781,2
510.4145,2
510.870281,2
511.326125,2
511.782031,2
512.238,1
512.694031,1
513.150125,1
513.606281,1
514.0625,1
514.518781,1
514.975125,1
515.431531,2
515.888,2
516.344531,1
516.801125,2
517.257781,1
517.7145,1
518.171281,1
518.628125,1
519.085031,2
519.542,2
519.999031,2
520.456125,2
520.913281,1
521.3705,1
521.827781,2
522.285125,2
522.742531,2
523.2,2
523.657531,2
524.115125,2
524.572781,1
525.0305,1
525.488281,1
525.946125,2
526.404031,2
526.862,2
527.320031,2
527.778125,2
528.236281,1
528.6945,1
529.152781,1
529.611125,1
530.069531,2
530.528,2
530.986531,2
531.445125,2
531.903781,2
532.3625,2
532.821281,2
533.280125,1
533.739031,2
534.198,2
534.657031,2
535.116125,2
535.575281,2
536.0345,2
536.493781,2
536.953125,2
537.412531,2
537.872,1
538.331531,2
538.791125,2
539.250781,2
539.7105,2
540.170281,2
540.630125,2
541.090031,2
541.55,2
542.010031,2
542.470125,1
542.930281,1
543.3905,2
543.850781,2
544.311125,2
544.771531,2
545.232,2
545.692531,2
546.153125,1
546.613781,1
547.0745,2
547.535281,2
547.996125,2
548.457031,2
548.918,2
549.379031,1
549.840125,1
550.301281,1
550.7625,1
551.223781,1
551.685125,1
552.146531,1
552.608,1
553.069531,1
553.531125,2
553.992781,2
554.4545,2
554.916281,1
555.378125,1
555.840031,1
556.302,1
556.764031,2
557.226125,2
557.688281,2
558.1505,1
558.612781,1
559.075125,1
559.537531,1
560.0,1
560.462531,2
560.925125,2
561.387781,2
561.8505,1
562.313281,1
562.776125,1
563.239031,1
563.702,1
564.165031,1
564.628125,2
565.091281,2
565.5545,2
566.017781,2
566.481125,1
566.944531,1
567.408,1
567.871531,1
568.335125,1
568.798781,1
569.2625,2
569.726281,2
570.190125,2
570.654031,2
571.118,2
571.582031,2
572.046125,2
572.510281,2
572.9745,1
573.438781,1
573.903125,2
574.367531,2
574.832,2
575.296531,2
575.761125,2
576.225781,1
576.6905,1
577.155281,1
577.620125,1
578.085031,2
578.55,2
579.015031,2
579.480125,1
579.945281,1
580.4105,1
580.875781,2
581.341125,2
581.806531,2
582.272,2
582.737531,2
583.203125,1
583.668781,1
584.1345,2
584.600281,2
585.066125,2
585.532031,2
585.998,2
586.464031,1
586.930125,1
587.396281,1
587.8625,2
588.328781,1
588.795125,1
589.261531,1
589.728,1
590.194531,1
590.661125,1
591.127781,2
591.5945,2
592.061281,2
592.528125,1
592.995031,1
593.462,2
593.929031,2
594.396125,2
594.863281,2
595.3305,2
595.797781,1
596.265125,1
596.732531,1
597.2,1
597.667531,2
598.135125,2
598.602781,2
599.0705,2
599.538281,2
600.006125,2
600.474031,2
600.942,1
601.410031,1
601.878125,1
602.346281,1
602.8145,1
603.282781,2
603.751125,2
604.219531,1
604.688,1
605.156531,1
605.625125,1
606.093781,2
606.5625,2
607.031281,2
607.500125,2
607.969031,2
608.438,1
608.907031,2
609.376125,2
609.845281,2
610.3145,2
610.783781,2
611.253125,2
611.722531,2
612.192,2
612.661531,2
613.131125,2
613.600781,2
614.0705,2
614.540281,2
615.010125,2
615.480031,2
615.95,2
616.420031,2
616.890125,2
617.360281,2
617.8305,2
618.300781,2
618.771125,2
619.241531,2
619.712,2
620.182531,2
620.653125,1
621.123781,1
621.5945,2
622.065281,2
622.536125,2
623.007031,2
623.478,2
623.949031,2
624.420125,2
624.891281,2
625.3625,2
625.833781,2
626.305125,2
626.776531,2
627.248,2
627.719531,2
628.191125,2
628.662781,2
629.1345,2
629.606281,2
630.078125,2
630.550031,2
631.022,2
631.494031,2
631.966125,2
632.438281,1
632.9105,1
633.382781,2
633.855125,2
634.327531,2
634.8,2
635.272531,2
635.745125,1
636.217781,1
636.6905,1
637.163281,1
637.636125,1
638.109031,1
638.582,1
639.055031,2
639.528125,2
640.001281,2
640.4745,2
640.947781,2
641.421125,2
641.894531,1
642.368,1
642.841531,1
643.315125,1
643.788781,1
644.2625,1
644.736281,2
645.210125,2
645.684031,3
646.158,2
646.632031,1
647.106125,1
647.580281,1
648.0545,2
648.528781,2
649.003125,2
649.477531,2
649.952,2
650.426531,1
650.901125,1
651.375781,1
651.8505,2
652.325281,2
652.800125,2
653.275031,2
653.75,2
654.225031,2
654.700125,2
655.175281,2
655.6505,2
656.125781,2
656.601125,2
657.076531,2
657.552,2
658.027531,2
658.503125,2
658.978781,2
659.4545,2
659.930281,2
660.406125,2
660.882031,1
661.358,1
661.834031,1
662.310125,1
662.786281,1
663.2625,1
663.738781,1
664.215125,1
664.691531,1
665.168,1
665.644531,1
666.121125,1
666.597781,1
667.0745,1
667.551281,1
668.028125,1
668.505031,1
668.982,2
669.459031,2
669.936125,2
670.413281,2
670.8905,2
671.367781,2
671.845125,1
672.322531,2
672.8,1
673.277531,1
673.755125,1
674.232781,1
674.7105,1
675.188281,1
675.666125,1
676.144031,1
676.622,2
677.100031,2
677.578125,2
678.056281,1
678.5345,2
679.012781,2
679.491125,2
679.969531,2
680.448,2
680.926531,2
681.405125,2
681.883781,2
682.3625,2
682.841281,2
683.320125,2
683.799031,1
684.278,2
684.757031,2
685.236125,2
685.715281,2
686.1945,2
686.673781,2
687.153125,2
687.632531,1
688.112,1
688.591531,1
689.071125,1
689.550781,2
690.0305,2
690.510281,2
690.990125,2
691.470031,2
691.95,2
692.430031,1
692.910125,1
693.390281,2
693.8705,2
694.350781,2
694.831125,2
695.311531,2
695.792,2
696.272531,2
696.753125,2
697.233781,1
697.7145,1
698.195281,1
698.676125,1
699.157031,2
699.638,2
700.119031,2
700.600125,2
701.081281,2
701.5625,2
702.043781,1
702.525125,1
703.006531,1
703.488,1
703.969531,2
704.451125,2
704.932781,2
705.4145,3
705.896281,2
706.378125,2
706.860031,2
707.342,2
707.824031,2
708.306125,2
708.788281,2
709.2705,2
709.752781,2
710.235125,2
710.717531,2
711.2,2
711.682531,2
712.165125,2
712.647781,2
713.1305,2
713.613281,2
714.096125,1
714.579031,1
715.062,2
715.545031,2
716.028125,2
716.511281,2
716.9945,2
717.477781,2
717.961125,2
718.444531,2
718.928,2
719.411531,2
719.895125,1
720.378781,1
720.8625,1
721.346281,1
721.830125,2
722.314031,2
722.798,2
723.282031,2
723.766125,3
724.250281,2
724.7345,2
725.218781,1
725.703125,1
726.187531,1
726.672,1
727.156531,2
727.641125,2
728.125781,2
728.6105,2
729.095281,2
729.580125,2
730.065031,2
730.55,2
731.035031,2
731.520125,2
732.005281,2
732.4905,2
732.975781,2
733.461125,1
733.946531,1
734.432,2
734.917531,2
735.403125,3
735.888781,3
736.3745,2
736.860281,2
737.346125,2
737.832031,2
738.318,2
738.804031,2
739.290125,2
739.776281,2
740.2625,2
