Wavelength,Intensity
380.0,2
380.437531,2
380.875125,2
381.312781,2
381.7505,1
382.188281,1
382.626125,1
383.064031,1
383.502,1
383.940031,1
384.378125,1
384.816281,1
385.2545,2
385.692781,2
386.131125,2
386.569531,1
387.008,1
387.446531,1
387.885125,1
388.323781,2
388.7625,2
389.201281,2
389.640125,1
390.079031,1
390.518,1
390.957031,1
391.396125,1
391.835281,1
392.2745,2
392.713781,2
393.153125,2
393.592531,2
394.032,2
394.471531,2
394.911125,1
395.350781,1
395.7905,1
396.230281,2
396.670125,2
397.110031,2
397.55,2
397.990031,2
398.430125,1
398.870281,1
399.3105,1
399.750781,2
400.191125,2
400.631531,2
401.072,2
401.512531,2
401.953125,2
402.393781,1
402.8345,1
403.275281,1
403.716125,1
404.157031,1
404.598,1
405.039031,1
405.480125,2
405.921281,1
406.3625,1
406.803781,1
407.245125,2
407.686531,2
408.128,3
408.569531,3
409.011125,2
409.452781,2
409.8945,2
410.336281,1
410.778125,1
411.220031,1
411.662,1
412.104031,1
412.546125,1
412.988281,1
413.4305,2
413.872781,2
414.315125,2
414.757531,1
415.2,1
415.642531,1
416.085125,2
416.527781,1
416.9705,2
417.413281,2
417.856125,2
418.299031,2
418.742,1
419.185031,1
419.628125,2
420.071281,2
420.5145,2
420.957781,2
421.401125,2
421.844531,1
422.288,1
422.731531,1
423.175125,1
423.618781,1
424.0625,2
424.506281,2
424.950125,2
425.394031,2
425.838,1
426.282031,1
426.726125,1
427.170281,1
427.6145,1
428.058781,2
428.503125,2
428.947531,2
429.392,2
429.836531,2
430.281125,1
430.725781,1
431.1705,2
431.615281,2
432.060125,2
432.505031,2
432.95,2
433.395031,2
433.840125,2
434.285281,2
434.7305,2
435.175781,2
435.621125,2
436.066531,1
436.512,1
436.957531,1
437.403125,1
437.848781,2
438.2945,1
438.740281,1
439.186125,2
439.632031,2
440.078,1
440.524031,1
440.970125,1
441.416281,1
441.8625,1
442.308781,2
442.755125,2
443.201531,2
443.648,2
444.094531,2
444.541125,1
444.987781,1
445.4345,1
445.881281,1
446.328125,2
446.775031,1
447.222,2
447.669031,1
448.116125,1
448.563281,2
449.0105,2
449.457781,2
449.905125,2
450.352531,2
450.8,1
451.247531,1
451.695125,1
452.142781,1
452.5905,1
453.038281,1
453.486125,1
453.934031,1
454.382,1
454.830031,1
455.278125,1
455.726281,1
456.1745,2
456.622781,2
457.071125,2
457.519531,2
457.968,1
458.416531,1
458.865125,1
459.313781,1
459.7625,1
460.211281,1
460.660125,1
461.109031,1
461.558,1
462.007031,1
462.456125,1
462.905281,2
463.3545,2
463.803781,2
464.253125,2
464.702531,2
465.152,2
465.601531,1
466.051125,1
466.500781,1
466.9505,1
467.400281,1
467.850125,1
468.300031,2
468.75,2
469.200031,2
469.650125,2
470.100281,2
470.5505,2
471.000781,2
471.451125,1
471.901531,1
472.352,2
472.802531,2
473.253125,2
473.703781,2
474.1545,2
474.605281,2
475.056125,2
475.507031,1
475.958,2
476.409031,2
476.860125,2
477.311281,3
477.7625,2
478.213781,2
478.665125,2
479.116531,2
479.568,1
480.019531,1
480.471125,2
480.922781,2
481.3745,2
481.826281,2
482.278125,1
482.730031,1
483.182,1
483.634031,2
484.086125,1
484.538281,1
484.9905,1
485.442781,1
485.895125,1
486.347531,1
486.8,2
487.252531,2
487.705125,2
488.157781,2
488.6105,2
489.063281,2
489.516125,2
489.969031,1
490.422,1
490.875031,2
491.328125,2
491.781281,2
492.2345,2
492.687781,1
493.141125,2
493.594531,2
494.048,2
494.501531,2
494.955125,2
495.408781,2
495.8625,2
496.316281,1
496.770125,1
497.224031,1
497.678,2
498.132031,2
498.586125,2
499.040281,2
499.4945,2
499.948781,1
500.403125,1
500.857531,1
501.312,1
501.766531,1
502.221125,1
502.675781,1
503.1305,1
503.585281,2
504.040125,2
504.495031,2
504.95,2
505.405031,2
505.860125,2
506.315281,2
506.7705,1
507.225781,1
507.681125,1
508.136531,2
508.592,2
509.047531,2
509.503125,2
509.958781,2
510.4145,1
510.870281,1
511.326125,1
511.782031,1
512.238,1
512.694031,2
513.150125,2
513.606281,2
514.0625,2
514.518781,2
514.975125,2
515.431531,2
515.888,2
516.344531,2
516.801125,2
517.257781,2
517.7145,2
518.171281,2
518.628125,2
519.085031,1
519.542,2
519.999031,2
520.456125,2
520.913281,2
521.3705,2
521.827781,2
522.285125,2
522.742531,2
523.2,2
523.657531,2
524.115125,2
524.572781,1
525.0305,1
525.488281,1
525.946125,1
526.404031,1
526.862,2
527.320031,2
527.778125,2
528.236281,1
528.6945,1
529.152781,1
529.611125,1
530.069531,1
530.528,1
530.986531,1
531.445125,2
531.903781,2
532.3625,2
532.821281,2
533.280125,2
533.739031,2
534.198,2
534.657031,2
535.116125,2
535.575281,2
536.0345,2
536.493781,2
536.953125,2
537.412531,2
537.872,2
538.331531,2
538.791125,2
539.250781,1
539.7105,2
540.170281,2
540.630125,2
541.090031,2
541.55,2
542.010031,2
542.470125,2
542.930281,1
543.3905,1
543.850781,1
544.311125,2
544.771531,1
545.232,2
545.692531,2
546.153125,2
546.613781,1
547.0745,1
547.535281,1
547.996125,1
548.457031,1
548.918,1
549.379031,2
549.840125,1
550.301281,1
550.7625,1
551.223781,1
551.685125,2
552.146531,2
552.608,2
553.069531,2
553.531125,2
553.992781,1
554.4545,1
554.916281,1
555.378125,1
555.840031,1
556.302,1
556.764031,2
557.226125,2
557.688281,2
558.1505,2
558.612781,1
559.075125,1
559.537531,1
560.0,2
560.462531,2
560.925125,2
561.387781,2
561.8505,2
562.313281,2
562.776125,2
563.239031,2
563.702,2
564.165031,1
564.628125,1
565.091281,2
565.5545,2
566.017781,1
566.481125,1
566.944531,1
567.408,1
567.871531,1
568.335125,1
568.798781,1
569.2625,2
569.726281,2
570.190125,2
570.654031,2
571.118,2
571.582031,2
572.046125,2
572.510281,2
572.9745,2
573.438781,2
573.903125,2
574.367531,2
574.832,2
575.296531,2
575.761125,2
576.225781,1
576.6905,1
577.155281,1
577.620125,1
578.085031,1
578.55,2
579.015031,2
579.480125,2
579.945281,2
580.4105,2
580.875781,2
581.341125,2
581.806531,2
582.272,2
582.737531,2
583.203125,2
583.668781,1
584.1345,1
584.600281,1
585.066125,1
585.532031,1
585.998,1
586.464031,0
586.930125,1
587.396281,1
587.8625,2
588.328781,2
588.795125,2
589.261531,1
589.728,1
590.194531,1
590.661125,1
591.127781,2
591.5945,2
592.061281,2
592.528125,1
592.995031,1
593.462,2
593.929031,2
594.396125,2
594.863281,2
595.3305,2
595.797781,2
596.265125,1
596.732531,1
597.2,2
597.667531,2
598.135125,2
598.602781,2
599.0705,2
599.538281,2
600.006125,2
600.474031,2
600.942,2
601.410031,2
601.878125,2
602.346281,2
602.8145,2
603.282781,2
603.751125,2
